id,area,aspects,solidities,extents,perimeters,eccentricities,labels
105,10355.0,1.68306010929,0.941834545074,0.183716556667,784.690465927,1.0,2
106,10247.5,1.68131868132,0.946083174573,0.184003088415,778.104680061,1.0,2
107,9749.0,1.67630057803,0.945128444546,0.194319314331,740.406195164,1.0,2
108,10222.0,1.68852459016,0.939910800056,0.180769978956,786.690466046,1.0,2
109,9533.0,1.50785340314,0.929504671124,0.173302065154,756.004172444,1.0,2
110,8951.0,1.46242774566,0.950313186641,0.204505471909,667.577766657,1.0,2
111,10630.0,1.65128205128,0.921503177829,0.169294473642,824.974736214,1.0,2
112,9061.0,1.61956521739,0.917290940299,0.16525021885,774.205183506,1.0,2
113,10929.0,1.57070707071,0.92708995269,0.177482217675,807.803162694,1.0,2
114,8981.0,1.66860465116,0.943085152336,0.181934203063,732.406195164,1.0,2
115,11115.0,1.63316582915,0.931294504137,0.171859296482,833.116871238,1.0,2
116,7815.5,1.34969325153,0.924364270557,0.217944785276,600.908720255,0.99,2
117,10391.0,1.6902173913,0.947608399548,0.181584649797,791.518893242,1.0,2
118,9975.0,1.67724867725,0.900636531979,0.166491412548,809.661028385,1.0,2
119,10275.5,1.60526315789,0.928606923062,0.177316652286,789.761533737,1.0,2
120,10605.5,1.63730569948,0.935023134803,0.173894864564,810.732095838,1.0,2
121,11421.0,1.61764705882,0.927179729443,0.169652406417,850.77372539,1.0,2
122,9004.0,1.58620689655,0.945550003197,0.187489588539,712.063047647,1.0,2
123,10642.5,1.61025641026,0.929841414269,0.173811856933,809.560522437,1.0,2
124,10014.0,1.64361702128,0.924184385361,0.17238173931,792.004174113,1.0,2
125,10040.0,1.60752688172,0.923600561855,0.180530082353,771.518891692,1.0,2
126,11496.5,1.61951219512,0.934257031943,0.168917131942,853.844793439,1.0,2
127,9878.0,1.62841530055,0.928688939701,0.181134704955,764.690465927,1.0,2
128,10259.0,1.68508287293,0.938609323526,0.18583461643,775.862039089,1.0,2
129,8969.5,1.43181818182,0.916049625532,0.202234397547,670.991979361,1.0,2
130,10366.5,1.60209424084,0.921917373632,0.1773688533,791.418387532,1.0,2
131,10257.0,1.62765957447,0.928613454089,0.1782957864,784.832601428,1.0,2
132,10439.0,1.68852459016,0.9391812781,0.18460749465,785.518892527,1.0,2
133,9495.0,1.54301075269,0.924627510715,0.177868944588,746.347319007,1.0,2
134,8597.0,1.40828402367,0.945608525044,0.213738749938,635.435631156,1.0,2
135,10910.5,1.61111111111,0.927645275453,0.17273835534,820.874231815,1.0,2
136,11731.0,1.62801932367,0.925924456956,0.16816468126,866.0874331,1.0,2
137,10073.0,1.60752688172,0.926338045555,0.181123458122,772.69046545,1.0,2
138,10091.5,1.67894736842,0.89396287466,0.16649892757,815.418388247,1.0,2
139,10906.0,1.67164179104,0.904874499856,0.161484245439,856.773725867,1.0,2
140,8440.5,1.39411764706,0.92009591846,0.209493670886,638.364563823,0.99,2
141,7755.5,1.31481481481,0.923054023768,0.224758013099,586.08029294,0.99,2
142,8239.0,1.35714285714,0.917841019129,0.21509502924,620.465070367,0.99,2
143,10459.0,1.58549222798,0.932590272558,0.177097090995,794.832600713,1.0,2
144,9725.0,1.62827225131,0.925133172326,0.163717782529,801.661026597,1.0,2
145,8240.0,1.37278106509,0.907938946527,0.210161191594,629.293495297,1.0,2
146,8341.0,1.40606060606,0.943979165414,0.21789446186,620.121922493,1.0,2
147,10259.5,1.61325966851,0.946841392212,0.19411753576,750.447825432,1.0,2
148,10447.0,1.68817204301,0.944489639775,0.178874734607,798.004174232,1.0,2
149,8171.0,1.4,0.926574803804,0.21437754165,620.46506834,0.99,2
150,9004.0,1.58620689655,0.945550003197,0.187489588539,712.063047647,1.0,2
151,9585.0,1.61578947368,0.919468550823,0.164323675639,797.175745845,1.0,2
152,9361.5,1.53005464481,0.921724994617,0.182699063232,731.619396091,1.0,2
153,11121.0,1.60891089109,0.933909968644,0.169398324448,839.116871834,1.0,2
154,9040.0,1.56111111111,0.925234113656,0.178726769474,730.548328757,1.0,2
155,10599.5,1.67005076142,0.898529217153,0.163539721969,843.217377186,1.0,2
156,10205.0,1.65803108808,0.889285862147,0.165236398964,822.832601547,1.0,2
157,8174.0,1.375,0.916162285181,0.210626674912,621.778778434,1.0,2
158,9205.5,1.62702702703,0.918712565682,0.165313818802,777.276251554,1.0,2
159,10078.5,1.61827956989,0.93095325207,0.18001821884,776.104679823,1.0,2
160,8443.5,1.45664739884,0.914887843592,0.193676025323,669.678271294,1.0,2
161,10404.0,1.68306010929,0.939158684427,0.184585905897,783.518893242,1.0,2
162,8208.5,1.41104294479,0.947590176651,0.218951720459,615.05085516,1.0,2
163,10524.0,1.625,0.929353577099,0.175681089744,801.317881227,1.0,2
164,7367.5,1.32051282051,0.918698161747,0.229260019915,568.281303525,0.99,2
165,11124.0,1.64676616915,0.89536380477,0.167200252514,847.945298791,1.0,2
166,8582.5,1.59776536313,0.91953714127,0.167646599211,743.477261543,1.0,2
167,10410.0,1.345,0.915205055913,0.193494423792,738.004172802,1.0,2
168,9001.5,1.44262295082,0.919458621865,0.186320168902,700.79096961,1.0,2
169,7864.5,1.28571428571,0.921711093798,0.216724537037,602.908719778,0.99,2
170,10642.5,1.61025641026,0.929841414269,0.173811856933,809.560522437,1.0,2
171,9832.0,1.63186813187,0.93053188595,0.181892181892,764.205184102,1.0,2
